Unnamed: 0,snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2712,2020/03/06 18:00:00,2020-03-06T18:00:00,"{'bid': 1665.66, 'ask': 1666.16, 'lastTraded': None}","{'bid': 1686.7, 'ask': 1687.2, 'lastTraded': None}","{'bid': 1687.25, 'ask': 1687.7, 'lastTraded': None}","{'bid': 1662.01, 'ask': 1662.51, 'lastTraded': None}",33426
2713,2020/03/06 20:00:00,2020-03-06T20:00:00,"{'bid': 1686.59, 'ask': 1687.09, 'lastTraded': None}","{'bid': 1672.75, 'ask': 1674.75, 'lastTraded': None}","{'bid': 1691.93, 'ask': 1692.55, 'lastTraded': None}","{'bid': 1665.8, 'ask': 1666.47, 'lastTraded': None}",23866
2714,2020/03/08 22:00:00,2020-03-08T22:00:00,"{'bid': 1692.28, 'ask': 1695.09, 'lastTraded': None}","{'bid': 1700.17, 'ask': 1700.47, 'lastTraded': None}","{'bid': 1703.02, 'ask': 1703.75, 'lastTraded': None}","{'bid': 1678.53, 'ask': 1680.83, 'lastTraded': None}",24397
2715,2020/03/09 00:00:00,2020-03-09T00:00:00,"{'bid': 1700.09, 'ask': 1700.59, 'lastTraded': None}","{'bid': 1700.85, 'ask': 1701.35, 'lastTraded': None}","{'bid': 1702.96, 'ask': 1703.68, 'lastTraded': None}","{'bid': 1690.05, 'ask': 1690.6, 'lastTraded': None}",32448
2716,2020/03/09 02:00:00,2020-03-09T02:00:00,"{'bid': 1700.86, 'ask': 1701.36, 'lastTraded': None}","{'bid': 1681.08, 'ask': 1681.98, 'lastTraded': None}","{'bid': 1701.34, 'ask': 1701.9, 'lastTraded': None}","{'bid': 1674.03, 'ask': 1675.05, 'lastTraded': None}",31451
2717,2020/03/09 04:00:00,2020-03-09T04:00:00,"{'bid': 1681.02, 'ask': 1681.96, 'lastTraded': None}","{'bid': 1663.07, 'ask': 1663.57, 'lastTraded': None}","{'bid': 1681.31, 'ask': 1682.04, 'lastTraded': None}","{'bid': 1657.0, 'ask': 1658.09, 'lastTraded': None}",33877
2718,2020/03/09 06:00:00,2020-03-09T06:00:00,"{'bid': 1663.05, 'ask': 1663.55, 'lastTraded': None}","{'bid': 1681.41, 'ask': 1681.71, 'lastTraded': None}","{'bid': 1685.02, 'ask': 1685.94, 'lastTraded': None}","{'bid': 1662.36, 'ask': 1662.86, 'lastTraded': None}",30017
2719,2020/03/09 08:00:00,2020-03-09T08:00:00,"{'bid': 1681.31, 'ask': 1681.81, 'lastTraded': None}","{'bid': 1664.77, 'ask': 1665.77, 'lastTraded': None}","{'bid': 1682.41, 'ask': 1683.29, 'lastTraded': None}","{'bid': 1661.66, 'ask': 1662.5, 'lastTraded': None}",20197
2720,2020/03/09 10:00:00,2020-03-09T10:00:00,"{'bid': 1664.6, 'ask': 1665.56, 'lastTraded': None}","{'bid': 1675.71, 'ask': 1676.21, 'lastTraded': None}","{'bid': 1681.47, 'ask': 1681.97, 'lastTraded': None}","{'bid': 1662.39, 'ask': 1663.26, 'lastTraded': None}",16920
2721,2020/03/09 12:00:00,2020-03-09T12:00:00,"{'bid': 1675.8, 'ask': 1676.3, 'lastTraded': None}","{'bid': 1671.72, 'ask': 1672.22, 'lastTraded': None}","{'bid': 1685.71, 'ask': 1686.12, 'lastTraded': None}","{'bid': 1665.84, 'ask': 1666.39, 'lastTraded': None}",23132
